From,Departure Delay,Count,TotalDepartures,Std_Delay,Probability
Gdv,23.0,1,20610,3.235278655194758,4.8520135856380395e-05
Gdv,24.0,6,20610,3.235278655194758,0.0002911208151382824
Gdv,25.0,6,20610,3.235278655194758,0.0002911208151382824
Gdv,26.0,6,20610,3.235278655194758,0.0002911208151382824
Gdv,27.0,2,20610,3.235278655194758,9.704027171276079e-05
Gdv,28.0,17,20610,3.235278655194758,0.0008248423095584668
Gdv,29.0,13,20610,3.235278655194758,0.0006307617661329451
Gdv,30.0,89,20610,3.235278655194758,0.004318292091217856
Hfa,0.0,9636,20873,3.1456350770915833,0.46164902026541466
Hfa,1.0,5659,20873,3.1456350770915833,0.2711157955253198
Hfa,2.0,2518,20873,3.1456350770915833,0.12063431226943899
Hfa,3.0,1153,20873,3.1456350770915833,0.05523882527667322
Hfa,4.0,593,20873,3.1456350770915833,0.028409907536051358
Hfa,5.0,352,20873,3.1456350770915833,0.016863891151248023
Hfa,6.0,214,20873,3.1456350770915833,0.010252479279451924
Hfa,7.0,122,20873,3.1456350770915833,0.00584487136492119
Hfa,8.0,100,20873,3.1456350770915833,0.004790878167968189
Hfa,9.0,64,20873,3.1456350770915833,0.003066162027499641
Hfa,10.0,45,20873,3.1456350770915833,0.002155895175585685
Hfa,11.0,35,20873,3.1456350770915833,0.001676807358788866
Hfa,12.0,23,20873,3.1456350770915833,0.0011019019786326833
Hfa,13.0,31,20873,3.1456350770915833,0.0014851722320701384
Hfa,14.0,28,20873,3.1456350770915833,0.0013414458870310928
Hfa,15.0,20,20873,3.1456350770915833,0.0009581756335936378
Hfa,16.0,46,20873,3.1456350770915833,0.0022038039572653666
Hfa,17.0,30,20873,3.1456350770915833,0.0014372634503904565
Hfa,18.0,25,20873,3.1456350770915833,0.0011977195419920472
Hfa,19.0,11,20873,3.1456350770915833,0.0005269965984765007
Hfa,20.0,19,20873,3.1456350770915833,0.0009102668519139558
Hfa,21.0,10,20873,3.1456350770915833,0.0004790878167968189
Hfa,22.0,9,20873,3.1456350770915833,0.00043117903511713697
Hfa,23.0,5,20873,3.1456350770915833,0.00023954390839840944
Hfa,24.0,10,20873,3.1456350770915833,0.0004790878167968189
Hfa,25.0,9,20873,3.1456350770915833,0.00043117903511713697
Hfa,26.0,10,20873,3.1456350770915833,0.0004790878167968189
Hfa,27.0,3,20873,3.1456350770915833,0.00014372634503904565
Hfa,28.0,10,20873,3.1456350770915833,0.0004790878167968189
Hfa,29.0,10,20873,3.1456350770915833,0.0004790878167968189
Hfa,30.0,73,20873,3.1456350770915833,0.003497341062616778
Hnd,0.0,33248,49735,3.416137002781957,0.668503066251131
Hnd,1.0,8005,49735,3.416137002781957,0.1609530511712074
Hnd,2.0,2677,49735,3.416137002781957,0.05382527395194531
Hnd,3.0,1395,49735,3.416137002781957,0.02804865788680004
Hnd,4.0,913,49735,3.416137002781957,0.01835729365637881
Hnd,5.0,654,49735,3.416137002781957,0.0131496933748869
Hnd,6.0,479,49735,3.416137002781957,0.009631044536041017
Hnd,7.0,318,49735,3.416137002781957,0.006393887604302805
Hnd,8.0,279,49735,3.416137002781957,0.005609731577360008
Hnd,9.0,229,49735,3.416137002781957,0.0046044033376897555
Hnd,10.0,157,49735,3.416137002781957,0.0031567306725645925
Hnd,11.0,171,49735,3.416137002781957,0.003438222579672263
Hnd,12.0,150,49735,3.416137002781957,0.003015984719010757
Hnd,13.0,136,49735,3.416137002781957,0.0027344928119030863
Hnd,14.0,125,49735,3.416137002781957,0.002513320599175631
Hnd,15.0,84,49735,3.416137002781957,0.001688951442646024
Hnd,16.0,81,49735,3.416137002781957,0.0016286317482658089
Hnd,17.0,62,49735,3.416137002781957,0.001246607017191113
Hnd,18.0,52,49735,3.416137002781957,0.0010455413692570625
Hnd,19.0,63,49735,3.416137002781957,0.001266713581984518
Hnd,20.0,44,49735,3.416137002781957,0.0008846888509098221
Hnd,21.0,33,49735,3.416137002781957,0.0006635166381823665
Hnd,22.0,39,49735,3.416137002781957,0.0007841560269427968
Hnd,23.0,32,49735,3.416137002781957,0.0006434100733889615
Hnd,24.0,25,49735,3.416137002781957,0.0005026641198351262
Hnd,25.0,28,49735,3.416137002781957,0.0005629838142153413
Hnd,26.0,19,49735,3.416137002781957,0.0003820247310746959
Hnd,27.0,23,49735,3.416137002781957,0.00046245099024831606
Hnd,28.0,13,49735,3.416137002781957,0.00026138534231426563
Hnd,29.0,18,49735,3.416137002781957,0.00036191816628129085
Hnd,30.0,183,49735,3.416137002781957,0.0036795013571931236
Jbo,0.0,32844,49678,3.3730762825140057,0.6611377269616329
Jbo,1.0,8684,49678,3.3730762825140057,0.1748057490237127
Jbo,2.0,2540,49678,3.3730762825140057,0.05112927251499658
Jbo,3.0,1382,49678,3.3730762825140057,0.02781915536052176
Jbo,4.0,888,49678,3.3730762825140057,0.017875115745400377
Jbo,5.0,600,49678,3.3730762825140057,0.012077780909054309
Jbo,6.0,444,49678,3.3730762825140057,0.008937557872700189
Jbo,7.0,320,49678,3.3730762825140057,0.006441483151495632
