From,To,Passenger_Count
Mr,Khä,378
Mö,Khä,1
Nvk,Khä,117
Ngd,Khä,1
Nyh,Khä,56
Rs,Khä,59
R,Khä,236
Rön,Khä,145
Ssä,Khä,1
Skg,Khä,217
Sol,Khä,450
So,Khä,556
Spå,Khä,458
Cst,Khä,4853
Sst,Khä,993
Sta,Khä,190
Sub,Khä,670
Söc,Khä,52
Söd,Khä,69
Söu,Khä,1
Tåd,Khä,120
Tul,Khä,239
Tu,Khä,414
Ts,Khä,1
Udl,Khä,185
Upv,Khä,419
U,Khä,18
Vhe,Khä,10
Åbe,Khä,534
Äs,Khä,540
Öso,Khä,2
Öte,Khä,169
Bkb,Ke,685
Bro,Ke,300
Bål,Ke,442
Fas,Ke,562
Flb,Ke,2012
Gn,Ke,167
Gdv,Ke,3
Hnd,Ke,847
Hel,Ke,940
Hfa,Ke,1
Hu,Ke,1238
Hgv,Ke,401
Jkb,Ke,1574
Jbo,Ke,520
Khä,Ke,626
Ke,Ke,0
Kn,Ke,11
Kda,Ke,4
Kän,Ke,521
Mr,Ke,992
Mö,Ke,1
Nvk,Ke,311
Ngd,Ke,2
Nyh,Ke,165
Rs,Ke,155
R,Ke,617
Rön,Ke,424
Ssä,Ke,2
Skg,Ke,634
Sol,Ke,1235
So,Ke,1594
Spå,Ke,1243
Cst,Ke,14221
Sst,Ke,2908
Sta,Ke,556
Sub,Ke,1891
Söc,Ke,151
Söd,Ke,202
Söu,Ke,3
Tåd,Ke,349
Tul,Ke,699
Tu,Ke,1212
Ts,Ke,3
Udl,Ke,542
Upv,Ke,1105
U,Ke,46
Vhe,Ke,28
Åbe,Ke,1565
Äs,Ke,1582
Öso,Ke,4
Öte,Ke,495
Bkb,Kn,4
Bro,Kn,2
Bål,Kn,4
Fas,Kn,4
Flb,Kn,12
Gn,Kn,1
Gdv,Kn,1
Hnd,Kn,5
Hel,Kn,6
Hfa,Kn,1
Hu,Kn,8
Hgv,Kn,3
Jkb,Kn,9
Jbo,Kn,3
Khä,Kn,4
Ke,Kn,11
Kn,Kn,0
Kda,Kn,1
Kän,Kn,3
Mr,Kn,8
Mö,Kn,1
Nvk,Kn,2
Ngd,Kn,1
Nyh,Kn,1
Rs,Kn,2
R,Kn,4
Rön,Kn,3
Ssä,Kn,1
Skg,Kn,4
Sol,Kn,8
So,Kn,10
Spå,Kn,7
Cst,Kn,81
Sst,Kn,17
Sta,Kn,4
Sub,Kn,11
Söc,Kn,1
Söd,Kn,2
Söu,Kn,1
Tåd,Kn,2
Tul,Kn,4
Tu,Kn,7
Ts,Kn,1
Udl,Kn,4
Upv,Kn,8
U,Kn,1
Vhe,Kn,1
Åbe,Kn,9
Äs,Kn,9
Öso,Kn,1
Öte,Kn,3
Bkb,Kda,2
Bro,Kda,1
Bål,Kda,1
Fas,Kda,2
Flb,Kda,5
Gn,Kda,1
Gdv,Kda,1
Hnd,Kda,2
Hel,Kda,2
Hfa,Kda,1
Hu,Kda,3
Hgv,Kda,1
Jkb,Kda,3
Jbo,Kda,2
Khä,Kda,2
Ke,Kda,4
Kn,Kda,1
Kda,Kda,0
Kän,Kda,1
Mr,Kda,2
Mö,Kda,1
Nvk,Kda,1
Ngd,Kda,1
Nyh,Kda,1
Rs,Kda,1
R,Kda,2
Rön,Kda,1
Ssä,Kda,1
Skg,Kda,2
Sol,Kda,3
So,Kda,3
Spå,Kda,3
Cst,Kda,27
Sst,Kda,6
Sta,Kda,2
Sub,Kda,4
Söc,Kda,1
Söd,Kda,1
Söu,Kda,1
Tåd,Kda,1
Tul,Kda,2
Tu,Kda,3
Ts,Kda,1
Udl,Kda,1
Upv,Kda,3
U,Kda,1
Vhe,Kda,1
Åbe,Kda,4
Äs,Kda,4
Öso,Kda,1
Öte,Kda,1
Bkb,Kän,215
Bro,Kän,104
Bål,Kän,153
Fas,Kän,160
Flb,Kän,570
Gn,Kän,48
Gdv,Kän,1
Hnd,Kän,240
Hel,Kän,283
Hfa,Kän,1
Hu,Kän,351
Hgv,Kän,114
Jkb,Kän,507
Jbo,Kän,148
Khä,Kän,208
Ke,Kän,520
Kn,Kän,3
Kda,Kän,1
Kän,Kän,0
Mr,Kän,277
Mö,Kän,1
Nvk,Kän,88
Ngd,Kän,1
Nyh,Kän,47
Rs,Kän,49
R,Kän,196
Rön,Kän,120
Ssä,Kän,1
Skg,Kän,180
Sol,Kän,376
So,Kän,462
Spå,Kän,381
Cst,Kän,4030
Sst,Kän,824
Sta,Kän,158
Sub,Kän,556
Söc,Kän,43
Söd,Kän,58
Söu,Kän,1
Tåd,Kän,99
Tul,Kän,198
Tu,Kän,344
Ts,Kän,1
Udl,Kän,154
Upv,Kän,348
U,Kän,15
Vhe,Kän,8
Åbe,Kän,444
Äs,Kän,449
Öso,Kän,1
Öte,Kän,141
Bkb,Mr,363
Bro,Mr,180
Bål,Mr,286
Fas,Mr,303
Flb,Mr,1082
Gn,Mr,90
Gdv,Mr,2
Hnd,Mr,456
Hel,Mr,544
Hfa,Mr,1
Hu,Mr,667
Hgv,Mr,240
Jkb,Mr,833
Jbo,Mr,280
Khä,Mr,376
Ke,Mr,987
Kn,Mr,8
Kda,Mr,2
Kän,Mr,313
Mr,Mr,0
Mö,Mr,1
Nvk,Mr,189
Ngd,Mr,1
Nyh,Mr,89
Rs,Mr,106
R,Mr,382
Rön,Mr,228
Ssä,Mr,1
Skg,Mr,341
Sol,Mr,729
So,Mr,880
Spå,Mr,702
Cst,Mr,7652
Sst,Mr,1565
Sta,Mr,299
Sub,Mr,1035
Söc,Mr,82
Söd,Mr,109
Söu,Mr,2
Tåd,Mr,188
Tul,Mr,376
Tu,Mr,652
Ts,Mr,2
Udl,Mr,304
Upv,Mr,714
U,Mr,34
Vhe,Mr,16
Åbe,Mr,842
Äs,Mr,851
Öso,Mr,2
Öte,Mr,267
Bkb,Mö,1
Bro,Mö,1
Bål,Mö,1
Fas,Mö,1
Flb,Mö,2
Gn,Mö,1
Gdv,Mö,1
Hnd,Mö,1
Hel,Mö,1
Hfa,Mö,1
Hu,Mö,1
Hgv,Mö,1
Jkb,Mö,1
Jbo,Mö,1
Khä,Mö,1
Ke,Mö,1
Kn,Mö,1
Kda,Mö,1
Kän,Mö,1
Mr,Mö,1
Mö,Mö,0
Nvk,Mö,1
Ngd,Mö,1
Nyh,Mö,1
Rs,Mö,1
R,Mö,1
Rön,Mö,1
Ssä,Mö,1
Skg,Mö,1
Sol,Mö,1
So,Mö,1
Spå,Mö,1
Cst,Mö,8
Sst,Mö,2
Sta,Mö,1
Sub,Mö,1
Söc,Mö,1
Söd,Mö,1
Söu,Mö,1
Tåd,Mö,1
Tul,Mö,1
Tu,Mö,1
Ts,Mö,1
Udl,Mö,1
Upv,Mö,1
U,Mö,1
Vhe,Mö,1
Åbe,Mö,1
Äs,Mö,1
Öso,Mö,1
Öte,Mö,1
Bkb,Nvk,123
Bro,Nvk,51
Bål,Nvk,75
Fas,Nvk,96
Flb,Nvk,341
Gn,Nvk,29
Gdv,Nvk,1
Hnd,Nvk,144
Hel,Nvk,172
Hfa,Nvk,1
Hu,Nvk,210
Hgv,Nvk,76
Jkb,Nvk,267
Jbo,Nvk,88
Khä,Nvk,117
Ke,Nvk,311
Kn,Nvk,2
Kda,Nvk,1
Kän,Nvk,89
Mr,Nvk,190
Mö,Nvk,1
Nvk,Nvk,0
Ngd,Nvk,1
Nyh,Nvk,28
Rs,Nvk,30
R,Nvk,118
Rön,Nvk,72
Ssä,Nvk,1
Skg,Nvk,108
Sol,Nvk,230
So,Nvk,277
Spå,Nvk,221
Cst,Nvk,2408
Sst,Nvk,493
Sta,Nvk,94
Sub,Nvk,326
Söc,Nvk,26
Söd,Nvk,35
Söu,Nvk,1
Tåd,Nvk,60
Tul,Nvk,119
Tu,Nvk,206
Ts,Nvk,1
Udl,Nvk,96
Upv,Nvk,211
U,Nvk,9
Vhe,Nvk,5
Åbe,Nvk,265
Äs,Nvk,268
Öso,Nvk,1
Öte,Nvk,84
Bkb,Ngd,1
Bro,Ngd,1
Bål,Ngd,1
Fas,Ngd,1
Flb,Ngd,3
Gn,Ngd,1
Gdv,Ngd,1
Hnd,Ngd,2
Hel,Ngd,1
Hfa,Ngd,1
Hu,Ngd,2
Hgv,Ngd,1
Jkb,Ngd,2
Jbo,Ngd,1
Khä,Ngd,1
Ke,Ngd,2
Kn,Ngd,1
Kda,Ngd,1
Kän,Ngd,1
Mr,Ngd,2
Mö,Ngd,1
Nvk,Ngd,1
Ngd,Ngd,0
Nyh,Ngd,1
Rs,Ngd,1
R,Ngd,1
Rön,Ngd,1
Ssä,Ngd,1
Skg,Ngd,1
Sol,Ngd,2
So,Ngd,2
Spå,Ngd,2
Cst,Ngd,15
Sst,Ngd,3
Sta,Ngd,1
Sub,Ngd,2
Söc,Ngd,1
Söd,Ngd,1
Söu,Ngd,1
Tåd,Ngd,1
Tul,Ngd,1
Tu,Ngd,2
Ts,Ngd,1
Udl,Ngd,1
Upv,Ngd,2
U,Ngd,1
Vhe,Ngd,1
Åbe,Ngd,2
Äs,Ngd,2
Öso,Ngd,1
Öte,Ngd,1
Bkb,Nyh,62
Bro,Nyh,27
Bål,Nyh,40
Fas,Nyh,58
Flb,Nyh,195
Gn,Nyh,17
Gdv,Nyh,1
Hnd,Nyh,95
Hel,Nyh,85
Hfa,Nyh,1
Hu,Nyh,120
Hgv,Nyh,36
Jkb,Nyh,142
Jbo,Nyh,60
Khä,Nyh,57
Ke,Nyh,165
Kn,Nyh,1
Kda,Nyh,1
Kän,Nyh,47
Mr,Nyh,94
Mö,Nyh,1
Nvk,Nyh,28
Ngd,Nyh,1
Nyh,Nyh,0
Rs,Nyh,14
R,Nyh,56
Rön,Nyh,41
Ssä,Nyh,1
Skg,Nyh,68
Sol,Nyh,111
So,Nyh,143
Spå,Nyh,112
Cst,Nyh,1296
Sst,Nyh,270
Sta,Nyh,54
Sub,Nyh,170
Söc,Nyh,15
Söd,Nyh,20
Söu,Nyh,1
Tåd,Nyh,37
Tul,Nyh,68
Tu,Nyh,131
Ts,Nyh,1
Udl,Nyh,49
Upv,Nyh,99
U,Nyh,5
Vhe,Nyh,4
Åbe,Nyh,149
Äs,Nyh,154
Öso,Nyh,1
Öte,Nyh,55
Bkb,Rs,61
Bro,Rs,29
Bål,Rs,42
Fas,Rs,48
Flb,Rs,169
Gn,Rs,15
Gdv,Rs,1
Hnd,Rs,72
Hel,Rs,85
Hfa,Rs,1
Hu,Rs,104
Hgv,Rs,38
Jkb,Rs,133
Jbo,Rs,44
Khä,Rs,59
Ke,Rs,154
Kn,Rs,2
Kda,Rs,1
Kän,Rs,49
Mr,Rs,106
Mö,Rs,1
Nvk,Rs,30
Ngd,Rs,1
Nyh,Rs,14
Rs,Rs,0
R,Rs,60
Rön,Rs,36
Ssä,Rs,1
Skg,Rs,54
Sol,Rs,114
So,Rs,138
Spå,Rs,110
Cst,Rs,1195
Sst,Rs,245
Sta,Rs,47
Sub,Rs,162
Söc,Rs,13
Söd,Rs,17
Söu,Rs,1
Tåd,Rs,30
Tul,Rs,59
Tu,Rs,102
Ts,Rs,1
Udl,Rs,48
Upv,Rs,112
U,Rs,5
Vhe,Rs,3
Åbe,Rs,132
Äs,Rs,133
Öso,Rs,1
Öte,Rs,42
Bkb,R,243
Bro,R,113
Bål,R,166
Fas,R,189
Flb,R,676
Gn,R,57
Gdv,R,1
Hnd,R,285
Hel,R,340
Hfa,R,1
Hu,R,416
Hgv,R,150
Jkb,R,573
Jbo,R,175
Khä,R,235
Ke,R,616
Kn,R,4
Kda,R,2
Kän,R,196
Mr,R,383
Mö,R,1
Nvk,R,118
Ngd,R,1
Nyh,R,56
Rs,R,60
R,R,0
Rön,R,143
Ssä,R,1
Skg,R,213
Sol,R,455
So,R,549
Spå,R,438
Cst,R,4776
Sst,R,977
Sta,R,187
Sub,R,646
Söc,R,51
Söd,R,68
Söu,R,1
Tåd,R,118
Tul,R,235
Tu,R,407
Ts,R,1
Udl,R,190
Upv,R,426
U,R,18
Vhe,R,10
Åbe,R,526
Äs,R,532
Öso,R,2
Öte,R,167
