From,To,Travel_Time
Tåd,Sub,29.0
Ts,Sub,53.0
Vhe,Sub,43.0
Åbe,Sub,17.0
Äs,Sub,20.0
Öso,Sub,66.0
Bkb,Tåd,37.0
Bro,Tåd,54.0
Bål,Tåd,59.0
Fas,Tåd,3.0
Gdv,Tåd,46.0
Hnd,Tåd,8.0
Hfa,Tåd,29.0
Jkb,Tåd,40.0
Jbo,Tåd,11.0
Khä,Tåd,44.0
Ke,Tåd,24.0
Kda,Tåd,22.0
Kän,Tåd,48.0
Ngd,Tåd,43.0
Nyh,Tåd,48.0
Ssä,Tåd,33.0
Skg,Tåd,3.0
Spå,Tåd,33.0
Cst,Tåd,18.0
Sst,Tåd,15.0
Sub,Tåd,28.0
Tåd,Tåd,0.0
Ts,Tåd,24.0
Vhe,Tåd,14.0
Åbe,Tåd,12.0
Äs,Tåd,8.0
Öso,Tåd,37.0
Bkb,Ts,62.0
Bro,Ts,79.0
Bål,Ts,84.0
Fas,Ts,28.0
Gdv,Ts,22.0
Hnd,Ts,17.0
Hfa,Ts,5.0
Jkb,Ts,65.0
Jbo,Ts,14.0
Khä,Ts,69.0
Ke,Ts,49.0
Kda,Ts,3.0
Kän,Ts,73.0
Ngd,Ts,19.0
Nyh,Ts,24.0
Ssä,Ts,9.0
Skg,Ts,23.0
Spå,Ts,58.0
Cst,Ts,43.0
Sst,Ts,40.0
Sub,Ts,53.0
Tåd,Ts,25.0
Ts,Ts,0.0
Vhe,Ts,6.0
Åbe,Ts,37.0
Äs,Ts,33.0
Öso,Ts,13.0
Bkb,Vhe,51.0
Bro,Vhe,68.0
Bål,Vhe,73.0
Fas,Vhe,17.0
Gdv,Vhe,27.0
Hnd,Vhe,6.0
Hfa,Vhe,10.0
Jkb,Vhe,54.0
Jbo,Vhe,3.0
Khä,Vhe,58.0
Ke,Vhe,38.0
Kda,Vhe,3.0
Kän,Vhe,62.0
Ngd,Vhe,24.0
Nyh,Vhe,29.0
Ssä,Vhe,14.0
Skg,Vhe,12.0
Spå,Vhe,47.0
Cst,Vhe,32.0
Sst,Vhe,29.0
Sub,Vhe,42.0
Tåd,Vhe,14.0
Ts,Vhe,5.0
Vhe,Vhe,0.0
Åbe,Vhe,26.0
Äs,Vhe,22.0
Öso,Vhe,18.0
Bkb,Åbe,25.0
Bro,Åbe,42.0
Bål,Åbe,47.0
Fas,Åbe,9.0
Gdv,Åbe,58.0
Hnd,Åbe,20.0
Hfa,Åbe,41.0
Jkb,Åbe,28.0
Jbo,Åbe,23.0
Khä,Åbe,32.0
Ke,Åbe,12.0
Kda,Åbe,34.0
Kän,Åbe,36.0
Ngd,Åbe,55.0
Nyh,Åbe,60.0
Ssä,Åbe,45.0
Skg,Åbe,14.0
Spå,Åbe,21.0
Cst,Åbe,6.0
Sst,Åbe,3.0
Sub,Åbe,16.0
Tåd,Åbe,12.0
Ts,Åbe,36.0
Vhe,Åbe,26.0
Åbe,Åbe,0.0
Äs,Åbe,3.0
Öso,Åbe,49.0
Bkb,Äs,29.0
Bro,Äs,46.0
Bål,Äs,51.0
Fas,Äs,6.0
Gdv,Äs,55.0
Hnd,Äs,17.0
Hfa,Äs,38.0
Jkb,Äs,32.0
Jbo,Äs,20.0
Khä,Äs,36.0
Ke,Äs,16.0
Kda,Äs,31.0
Kän,Äs,40.0
Ngd,Äs,52.0
Nyh,Äs,57.0
Ssä,Äs,42.0
Skg,Äs,11.0
Spå,Äs,25.0
Cst,Äs,10.0
Sst,Äs,7.0
Sub,Äs,20.0
Tåd,Äs,9.0
Ts,Äs,33.0
Vhe,Äs,23.0
Åbe,Äs,4.0
Äs,Äs,0.0
Öso,Äs,46.0
Bkb,Öso,75.0
Bro,Öso,92.0
Bål,Öso,97.0
Fas,Öso,41.0
Gdv,Öso,8.0
Hnd,Öso,30.0
Hfa,Öso,8.0
Jkb,Öso,78.0
Jbo,Öso,27.0
Khä,Öso,82.0
Ke,Öso,62.0
Kda,Öso,16.0
Kän,Öso,86.0
Ngd,Öso,5.0
Nyh,Öso,10.0
Ssä,Öso,4.0
Skg,Öso,36.0
Spå,Öso,71.0
Cst,Öso,56.0
Sst,Öso,53.0
Sub,Öso,66.0
Tåd,Öso,38.0
Ts,Öso,13.0
Vhe,Öso,19.0
Åbe,Öso,50.0
Äs,Öso,46.0
Öso,Öso,0.0
